Trial,Year,State,Site,Site_Prod,Block,Plant_N,Yield_SY
1,2014,IA,Ames,Low,1,40,9635.8
1,2014,IA,Ames,Low,1,80,12819.2
1,2014,IA,Ames,Low,1,40,12788.2
1,2014,IA,Ames,Low,1,40,14195.7
1,2014,IA,Ames,Low,1,80,14011.4
1,2014,IA,Ames,Low,1,40,14616.8
1,2014,IA,Ames,Low,1,40,14562.1
1,2014,IA,Ames,Low,1,160,13711.4
1,2014,IA,Ames,Low,1,0,7435.4
1,2014,IA,Ames,Low,1,120,13548.7
1,2014,IA,Ames,Low,1,40,14801.5
1,2014,IA,Ames,Low,1,40,14758.5
1,2014,IA,Ames,Low,1,80,14934
1,2014,IA,Ames,Low,1,200,14554.7
1,2014,IA,Ames,Low,1,240,14898.1
1,2014,IA,Ames,Low,1,280,14827.8
1,2014,IA,Ames,Low,2,160,14418.6
1,2014,IA,Ames,Low,2,80,15585.3
1,2014,IA,Ames,Low,2,240,15294.8
1,2014,IA,Ames,Low,2,40,13858.6
1,2014,IA,Ames,Low,2,0,7680
1,2014,IA,Ames,Low,2,40,14759.6
1,2014,IA,Ames,Low,2,40,14185.1
1,2014,IA,Ames,Low,2,80,13136.3
1,2014,IA,Ames,Low,2,120,13216.8
1,2014,IA,Ames,Low,2,40,14095.9
1,2014,IA,Ames,Low,2,80,14648.1
1,2014,IA,Ames,Low,2,280,14734.2
1,2014,IA,Ames,Low,2,40,11901.8
1,2014,IA,Ames,Low,2,40,15269.2
1,2014,IA,Ames,Low,2,200,14730.8
1,2014,IA,Ames,Low,2,40,14852.5
1,2014,IA,Ames,Low,3,0,8445.3
1,2014,IA,Ames,Low,3,40,13443.3
1,2014,IA,Ames,Low,3,40,14640
1,2014,IA,Ames,Low,3,40,14762.3
1,2014,IA,Ames,Low,3,200,14183.5
1,2014,IA,Ames,Low,3,40,14771
1,2014,IA,Ames,Low,3,80,13918.5
1,2014,IA,Ames,Low,3,80,14468.2
1,2014,IA,Ames,Low,3,40,14226.6
1,2014,IA,Ames,Low,3,160,13925.9
1,2014,IA,Ames,Low,3,240,14470.7
1,2014,IA,Ames,Low,3,120,13877.2
1,2014,IA,Ames,Low,3,80,14266.7
1,2014,IA,Ames,Low,3,40,14363.1
1,2014,IA,Ames,Low,3,280,13352.4
1,2014,IA,Ames,Low,3,40,11587.7
1,2014,IA,Ames,Low,4,120,13929.8
1,2014,IA,Ames,Low,4,80,14386.5
1,2014,IA,Ames,Low,4,40,13342.5
1,2014,IA,Ames,Low,4,80,14365.3
1,2014,IA,Ames,Low,4,240,14722.2
1,2014,IA,Ames,Low,4,40,14570.9
1,2014,IA,Ames,Low,4,160,14347.4
1,2014,IA,Ames,Low,4,40,14717.5
1,2014,IA,Ames,Low,4,40,15168.9
1,2014,IA,Ames,Low,4,40,11566.3
1,2014,IA,Ames,Low,4,280,14572.3
1,2014,IA,Ames,Low,4,0,9848.3
1,2014,IA,Ames,Low,4,40,14590.7
1,2014,IA,Ames,Low,4,80,13117.8
1,2014,IA,Ames,Low,4,200,14575.7
1,2014,IA,Ames,Low,4,40,15053.4
2,2014,IA,MasonCity,High,1,40,8865.9
2,2014,IA,MasonCity,High,1,80,10618.6
2,2014,IA,MasonCity,High,1,40,11222.1
2,2014,IA,MasonCity,High,1,40,11986.4
2,2014,IA,MasonCity,High,1,80,12777
2,2014,IA,MasonCity,High,1,40,13192.8
2,2014,IA,MasonCity,High,1,40,12279.4
2,2014,IA,MasonCity,High,1,160,14036.7
2,2014,IA,MasonCity,High,1,0,5574.3
2,2014,IA,MasonCity,High,1,120,12495.4
2,2014,IA,MasonCity,High,1,40,11714.2
2,2014,IA,MasonCity,High,1,40,13591
2,2014,IA,MasonCity,High,1,80,12304.4
2,2014,IA,MasonCity,High,1,200,12931.6
2,2014,IA,MasonCity,High,1,240,13391.6
2,2014,IA,MasonCity,High,1,280,12038.8
2,2014,IA,MasonCity,High,2,160,12242.9
2,2014,IA,MasonCity,High,2,80,11302.7
2,2014,IA,MasonCity,High,2,240,10429.3
2,2014,IA,MasonCity,High,2,40,10958.1
2,2014,IA,MasonCity,High,2,0,5469.4
2,2014,IA,MasonCity,High,2,40,13957.2
2,2014,IA,MasonCity,High,2,40,11260.7
2,2014,IA,MasonCity,High,2,80,12320.4
2,2014,IA,MasonCity,High,2,120,12822.6
2,2014,IA,MasonCity,High,2,40,11501.9
2,2014,IA,MasonCity,High,2,80,11872
2,2014,IA,MasonCity,High,2,280,12840.8
2,2014,IA,MasonCity,High,2,40,7770.5
2,2014,IA,MasonCity,High,2,40,13162.3
2,2014,IA,MasonCity,High,2,200,11661.6
2,2014,IA,MasonCity,High,2,40,11316.5
2,2014,IA,MasonCity,High,3,0,4642.8
