Exp,Parcela,Bloque,Trat,Anio,Tipo_Exp,Bio_final_kg_ha,Rend_PH_kg_ha
1,3,1,Control,2014,FI,5960.52631578947,3009.67937084089
1,8,2,Control,2014,FI,5881.57894736842,2949.1833030853
1,2,1,N,2014,FI,9973.68421052632,4506.95704779189
1,6,2,N,2014,FI,7842.1052631579,3433.15184513007
1,4,1,Nf20,2014,FI,5315.78947368421,2586.20689655172
1,5,2,Nf20,2014,FI,6934.21052631579,3675.13611615245
1,1,1,S,2014,FI,5723.68421052632,3115.54748941319
1,7,2,S,2014,FI,4552.63157894737,2419.84271022384
2,3,1,Control,2014,FI,7236.84210526316,3796.12825166364
2,8,2,Control,2014,FI,7539.47368421053,3660.01209921355
2,2,1,N,2014,FI,9697.36842105263,4401.0889292196
2,6,2,N,2014,FI,8723.68421052632,3781.00423472474
2,4,1,Nf20,2014,FI,7315.78947368421,3750.75620084694
2,5,2,Nf20,2014,FI,6605.26315789474,3176.04355716878
2,1,1,S,2014,FI,7710.52631578947,3796.12825166364
2,7,2,S,2014,FI,7381.57894736842,3539.01996370236
3,3,1,Control,2014,FI,7263.15789473684,3599.51603145796
3,8,2,Control,2014,FI,7973.68421052632,3675.13611615245
3,2,1,N,2014,FI,8671.05263157895,3660.01209921355
3,6,2,N,2014,FI,8447.36842105263,3539.01996370236
3,4,1,Nf20,2014,FI,7736.84210526316,3735.63218390805
3,5,2,Nf20,2014,FI,8342.1052631579,3962.49243799153
3,1,1,S,2014,FI,8078.94736842105,3720.50816696915
3,7,2,S,2014,FI,8473.68421052632,4053.23653962492
4,3,1,Control,2014,FI,6776.31578947368,3554.14398064126
4,8,2,Control,2014,FI,6328.94736842105,3266.78765880218
4,2,1,N,2014,FI,8592.1052631579,3826.37628554144
4,6,2,N,2014,FI,9868.42105263158,4567.45311554749
4,4,1,Nf20,2014,FI,7697.36842105263,3947.36842105263
4,5,2,Nf20,2014,FI,8197.36842105263,4143.98064125832
4,1,1,S,2014,FI,5328.94736842105,2707.19903206292
4,7,2,S,2014,FI,6421.05263157895,3221.41560798548
5,3,1,Control,2014,FI,10571.4285714286,3891.62561576355
5,8,2,Control,2014,FI,9314.28571428571,4942.52873563218
5,2,1,N,2014,FI,9700,4417.07717569787
5,6,2,N,2014,FI,9285.71428571429,5090.31198686371
5,4,1,Nf20,2014,FI,8214.28571428571,4236.45320197044
5,5,2,Nf20,2014,FI,9185.71428571429,5024.63054187192
5,1,1,S,2014,FI,10300,5320.19704433498
5,7,2,S,2014,FI,9900,5090.31198686371
6,3,1,Control,2014,FI,10257.1428571429,5599.34318555008
6,8,2,Control,2014,FI,10514.2857142857,5665.02463054187
6,2,1,N,2014,FI,12214.2857142857,6600.98522167488
6,6,2,N,2014,FI,14800,8193.76026272578
6,4,1,Nf20,2014,FI,10614.2857142857,5697.86535303777
6,5,2,Nf20,2014,FI,10500,5796.38752052545
6,1,1,S,2014,FI,9071.42857142857,4942.52873563218
6,7,2,S,2014,FI,NA,NA
7,3,1,Control,2014,FI,7500,4146.14121510673
7,8,2,Control,2014,FI,8452.38095238095,4679.80295566502
7,2,1,N,2014,FI,8726.19047619047,4666.11932129174
7,6,2,N,2014,FI,7726.19047619048,4269.29392446634
7,4,1,Nf20,2014,FI,7559.52380952381,4241.92665571976
7,5,2,Nf20,2014,FI,7142.85714285714,4022.98850574713
7,1,1,S,2014,FI,7238.09523809524,3927.2030651341
7,7,2,S,2014,FI,7738.09523809524,4296.66119321292
8,3,1,Control,2014,FI,8845.2380952381,5035.57744937055
8,8,2,Control,2014,FI,8547.61904761905,4584.017515052
8,2,1,N,2014,FI,14595.2380952381,7895.45703338807
8,6,2,N,2014,FI,12952.380952381,7088.12260536399
8,4,1,Nf20,2014,FI,10357.1428571429,5651.34099616858
8,5,2,Nf20,2014,FI,9916.66666666667,5555.55555555556
8,1,1,S,2014,FI,10595.2380952381,5719.75916803503
8,7,2,S,2014,FI,NA,NA
9,3,1,Control,2014,FI,6900,3628.89983579639
9,8,2,Control,2014,FI,6800,3563.2183908046
9,2,1,N,2014,FI,9628.57142857143,5041.05090311987
9,6,2,N,2014,FI,9000,4893.26765188834
9,4,1,Nf20,2014,FI,7414.28571428571,3760.26272577997
9,5,2,Nf20,2014,FI,7128.57142857143,4022.98850574713
9,1,1,S,2014,FI,7928.57142857143,4187.1921182266
9,7,2,S,2014,FI,6600,3579.63875205255
10,3,1,Control,2014,FI,7171.42857142857,3743.84236453202
10,8,2,Control,2014,FI,5328.57142857143,2775.04105090312
10,2,1,N,2014,FI,9542.85714285714,4696.22331691297
10,6,2,N,2014,FI,6371.42857142857,2906.4039408867
10,4,1,Nf20,2014,FI,6342.85714285714,3382.59441707718
10,5,2,Nf20,2014,FI,4114.28571428572,2085.38587848933
10,1,1,S,2014,FI,6700,3267.65188834154
10,7,2,S,2014,FI,5014.28571428571,2446.63382594417
11,3,1,Control,2014,FI,9886.36363636364,5133.22884012539
11,8,2,Control,2014,FI,9034.09090909091,5107.10553814002
11,2,1,N,2014,FI,12772.7272727273,6831.2434691745
11,6,2,N,2014,FI,12715.9090909091,6752.87356321839
11,4,1,Nf20,2014,FI,10795.4545454545,5864.68129571578
