Kansas State University Weather Data Library (WDL) Issued NWS Shef Codes,,,,,,,,,,,
Last Update:4/20/2015,,,,,,,,,,,
Admin Unit,SHEF ID,Station Name,County,Latitude,Longitude,Elevation (ft),Elevation (meters),OP. Name,Description,Flags,WFO
Kmesonet,EDCK1,Butler,Butler,37.80431,-96.88306,1315,401,Butler College,30 Ft tower; CR1000 data logger with 5 min/hourly/daily data; IP based data connection,,ict
Kmesonet,CRKK1,Cherokee,Cherokee,37.19898,-94.9809,871,265,,30 Ft tower; CR1000 data logger with 5 min/hourly/daily data; IP based data connection,,spr
Kmesonet,CKMK1,Clay,Clay,39.41796,-97.13977,1274,388,Clay Center,30 Ft tower; CR1000 data logger with 5 min/hourly/daily data; IP based data connection,,top
Kmesonet,SEAK1,Sedan,Chautauqua,37.165,-96.228,994,303,Sedan 4NW,30 Ft tower; CR1000 data logger with 5 min/hourly/daily data; IP based data connection,,ict
Kmesonet,ANTK1,Harper,Harper,37.06478,-98.08473,1403,428,Anthony 7SW,30 Ft tower; CR1000 data logger with 5 min/hourly/daily data; IP based data connection,,ict
Kmesonet,KJTK1,Hodgeman,Hodgeman,38.10067,-99.9016,2349,716,Jetmore 1NNW,30 Ft tower; CR1000 data logger with 5 min/hourly/daily data; IP based data connection,,ddc
Kmesonet,JEWK1,Jewell,Jewell,39.68342,-98.21306,1772,540,Jewell,30 Ft tower; CR1000 data logger with 5 min/hourly/daily data; IP based data connection,,gid
Kmesonet,MEUK1,Meade,Meade,37.13484,-100.39561,2355,718,Meade 11N,30 Ft tower; CR1000 data logger with 5 min/hourly/daily data; IP based data connection,,ddc
Kmesonet,POLK1,Miami,Miami,38.59228,-94.84786,956,291,Paola 2NE,30 Ft tower; CR1000 data logger with 5 min/hourly/daily data; IP based data connection,,eax
Kmesonet,BEOK1,Mitchell,Mitchell,39.43712,-98.21001,1487,453,Mitchell,30 Ft tower; CR1000 data logger with 5 min/hourly/daily data; IP based data connection,,gid
Kmesonet,PMSK1,Osage,Osage,38.69704,-95.60859,991,302,Pomona Lake,30 Ft tower; CR1000 data logger with 5 min/hourly/daily data; IP based data connection,,top
Kmesonet,OSNK1,Osborne,Osborne,39.45438,-98.70348,1608,490,Osborne,30 Ft tower; CR1000 data logger with 5 min/hourly/daily data; IP based data connection,,gid
Kmesonet,SVUK1,Stevens,Stevens,37.35186,-101.35548,3108,947,Hugoton 10ENE,30 Ft tower; CR1000 data logger with 5 min/hourly/daily data; IP based data connection,,ddc
Kmesonet,WMNK1,Washington,Washington,39.782293,-97.054804,1325,404,Washington,30 Ft tower; CR1000 data logger with 5 min/hourly/daily data; IP based data connection,,top
Kmesonet,KWHK1,Leoti,Wichita,38.48336,-101.32772,3286,1002,,30 Ft tower; CR1000 data logger with 5 min/hourly/daily data; IP based data connection,,gld
Kmesonet,YACK1,Woodson,Woodson,37.8612,-95.7836,1109,338,Yates Center,30 Ft tower; CR1000 data logger with 5 min/hourly/daily data; IP based data connection,,ict
Kmesonet,MTNK1,Manhattan,Riley,39.20857,-96.59169,1090,332,,30 Ft tower; CR1000 data logger with 5 min/hourly/daily data; IP based data connection,,top
Kmesonet,ASBK1,Ashland Bottoms,Riley,39.12577,-96.63653,1065,325,,30 Ft tower; CR1000 data logger with 5 min/hourly/daily data; IP based data connection,,top
Kmesonet,RKSK1,Rock Springs,Dickinson,38.866792,-96.902845,1228,374,,30 Ft tower; CR1000 data logger with 5 min/hourly/daily data; IP based data connection,,top
Kmesonet,CBKK1,Colby,Thomas,39.39247,-101.06864,3190,972,,30 Ft tower; CR1000 data logger with 5 min/hourly/daily data; IP based data connection,,gld
Kmesonet,PARK1,Parsons,Labette,37.36875,-95.28774,944,288,,30 Ft tower; CR1000 data logger with 5 min/hourly/daily data; IP based data connection,,ict
Kmesonet,TRBK1,Tribune,Greeley,38.46625,-101.77522,3636,1108,,30 Ft tower; CR1000 data logger with 5 min/hourly/daily data; IP based data connection,,gld
Kmesonet,GESK1,Garden City,Finney,37.99292,-100.81218,2894,882,,30 Ft tower; CR1000 data logger with 5 min/hourly/daily data; IP based data connection,,ddc
Kmesonet,HASK1,Hays,Ellis,38.84945,-99.34461,2030,619,,30 Ft tower; CR1000 data logger with 5 min/hourly/daily data; IP based data connection,,ddc
Kmesonet,,Gypsum,Saline,38.72522,-97.44415,1224,370,,30 Ft tower; CR1000 data logger with 5 min/hourly/daily data; IP based data connection,,ict
