location,year,date,doy,AirTemp_max,AirTemp_min,RH%,precip_mm,accum_precip_mm,SoilTemp_2in_max,SoilTemp_2in_min,rad_Mjm2,Etc_grass_mm,Etc_alfalfa_mm
Ottawa,2015,1-Jan,1,0.5,-9.2,67.1,0,0,0.5,-5.2,5.5,0.91,1.42
Ottawa,2015,2-Jan,2,1.2,-3,86.9,0,0,1,-1.6,2.9,0.47,0.6
Ottawa,2015,3-Jan,3,5,-7.5,92.1,2.54,2.54,4.5,-0.9,4.9,0.5,0.65
Ottawa,2015,4-Jan,4,-7.1,-13.2,65.3,0,2.54,-0.4,-3.7,10.7,0.53,0.79
Ottawa,2015,5-Jan,5,-2.3,-15,66.9,0,2.54,-0.5,-4.5,8.1,0.7,1.07
Ottawa,2015,6-Jan,6,-1.8,-8.9,61.9,0,2.54,0.7,-4.2,9.5,0.67,1.01
Ottawa,2015,7-Jan,7,-6.2,-19.1,57.8,0,2.54,-1.9,-9,9.7,0.59,0.91
Ottawa,2015,8-Jan,8,0.8,-19.2,58.9,0,2.54,-0.1,-10.2,6.8,1.24,1.99
Ottawa,2015,9-Jan,9,-4.5,-15.7,51.4,0.51,3.05,0.3,-8.5,11,0.65,1
Ottawa,2015,10-Jan,10,3.1,-15.8,50.6,0,3.05,1.2,-9.5,10.6,1.71,2.78
Ottawa,2015,11-Jan,11,3.3,-5.9,75.5,0.25,3.3,1.3,-5,3.2,0.84,1.26
Ottawa,2015,12-Jan,12,-0.1,-10.2,65.5,0,3.3,1.5,-5.7,10.7,0.74,1.12
Ottawa,2015,13-Jan,13,-1.6,-14.1,62.9,0,3.3,3.6,-8,10.5,0.57,0.83
Ottawa,2015,14-Jan,14,5,-8.1,59.9,0,3.3,4.5,-4.8,6.4,0.98,1.49
Ottawa,2015,15-Jan,15,11.4,-10.2,64.7,0,3.3,6.4,-6.4,11,1.29,2.04
Ottawa,2015,16-Jan,16,15.8,-6.1,59.1,0,3.3,7.6,-3.9,11.1,2.71,4.44
Ottawa,2015,17-Jan,17,13.8,0.1,52.2,0,3.3,8.4,-0.8,8.8,2.36,3.82
Ottawa,2015,18-Jan,18,16.9,-2.8,48,0,3.3,10.5,-1.7,9.7,2.06,3.33
Ottawa,2015,19-Jan,19,19.4,-5.7,57.3,0,3.3,11.9,-2.1,10.5,2.02,3.25
Ottawa,2015,20-Jan,20,11.5,-2.7,60.3,0,3.3,9.9,-1.1,5.6,1.12,1.66
Ottawa,2015,21-Jan,21,9.8,-2.8,58.4,0,3.3,8,-1.6,9.7,1.18,1.76
Ottawa,2015,22-Jan,22,4.4,-6,73.1,0,3.3,8.2,-2,6.8,0.63,0.81
Ottawa,2015,23-Jan,23,8.6,-9.8,69.6,0,3.3,7.6,-3.8,11.3,1.25,1.9
Ottawa,2015,24-Jan,24,16.2,-2.8,60.4,2.29,5.59,12.8,-1.4,10.5,2.17,3.44
Ottawa,2015,25-Jan,25,8,-1.4,79.4,0,5.59,5.1,-0.4,1.7,0.84,1.2
Ottawa,2015,26-Jan,26,17.1,-5.3,69,0,5.59,13.9,-1.6,12,1.72,2.63
Ottawa,2015,27-Jan,27,15.2,-1,61.9,0,5.59,16.2,-0.5,12.1,1.83,2.81
Ottawa,2015,28-Jan,28,23.2,1,52.4,0,5.59,16.9,-0.1,10.7,4.25,6.92
Ottawa,2015,29-Jan,29,12.4,-4.1,64.5,0,5.59,10.1,-1.5,5.3,1.42,2.15
Ottawa,2015,30-Jan,30,4,-8.1,74.9,0,5.59,9.3,-2.9,9.4,0.72,0.94
Ottawa,2015,31-Jan,31,4.7,0.7,92.4,20.32,25.91,3.8,1.5,1.7,0.73,1.02
Ottawa,2015,1-Feb,32,3.9,-11.5,87.7,8.13,34.04,3.1,-2.7,2,0.65,0.94
Ottawa,2015,2-Feb,33,-2.8,-14.9,75,0,34.04,1.1,-4.6,13.2,0.71,0.99
Ottawa,2015,3-Feb,34,9.2,-6.5,70.4,0,34.04,3.4,-3.5,12.6,1.68,2.55
Ottawa,2015,4-Feb,35,-0.1,-10.8,82.6,0,34.04,-0.5,-4.1,2.1,0.53,0.73
Ottawa,2015,5-Feb,36,-0.8,-14.1,67.2,0,34.04,0.4,-5.4,11.6,0.98,1.46
Ottawa,2015,6-Feb,37,12.2,-4.2,66.3,0,34.04,6.1,-3.4,13.1,2.29,3.56
Ottawa,2015,7-Feb,38,16.4,1.8,74.2,0,34.04,11.5,-0.2,13.8,2.35,3.55
Ottawa,2015,8-Feb,39,20.1,4.7,65.5,0,34.04,17.7,2.6,13.4,2.33,3.43
Ottawa,2015,9-Feb,40,6.2,-2.9,83.5,0,34.04,10.6,-0.7,6.4,0.83,1.08
Ottawa,2015,10-Feb,41,12.5,-3.6,70.8,0,34.04,17.1,-1.4,14,1.83,2.68
Ottawa,2015,11-Feb,42,3.5,-4.4,73,0,34.04,7.8,-1.6,10.8,1,1.33
Ottawa,2015,12-Feb,43,-2,-10.7,54.8,0,34.04,2.7,-4,11.8,0.97,1.37
Ottawa,2015,13-Feb,44,8.3,-7.5,58.5,0,34.04,6.5,-3.9,12.1,1.44,2.07
Ottawa,2015,14-Feb,45,5.8,-7.4,59.3,0,34.04,10.5,-5.1,14.6,1.52,2.21
Ottawa,2015,15-Feb,46,-5.9,-10.7,55.8,0,34.04,0.4,-8.8,7,0.8,1.18
Ottawa,2015,16-Feb,47,-4.5,-12,77.7,0.25,34.29,0.6,-4.4,9.3,0.62,0.78
Ottawa,2015,17-Feb,48,0.4,-11.9,77.6,0.51,34.8,1.4,-4.1,10.5,0.79,1.01
Ottawa,2015,18-Feb,49,-6.8,-15,59.9,0,34.8,0.5,-4.5,16.4,0.81,1.08
Ottawa,2015,19-Feb,50,-5.2,-15.8,65.1,0,34.8,-0.1,-5.9,8.1,0.76,1.09
Ottawa,2015,20-Feb,51,3.3,-10.3,80.9,0.25,35.05,1.3,-6.1,6.2,0.85,1.19
Ottawa,2015,21-Feb,52,10.1,-2.6,84.5,5.84,40.89,9.2,-0.8,15.2,1.41,1.76
Ottawa,2015,22-Feb,53,-2.5,-8.4,55.3,0,40.89,-0.1,-3.2,8.6,1.01,1.43
Ottawa,2015,23-Feb,54,-4.4,-12.6,46.7,0,40.89,3.1,-5,14.7,1,1.35
Ottawa,2015,24-Feb,55,8.1,-10.3,58.9,0,40.89,5.9,-5.8,16.9,1.85,2.66
Ottawa,2015,25-Feb,56,11.5,-7,68,0,40.89,8.3,-3.2,15,2.16,3.18
Ottawa,2015,26-Feb,57,-5.1,-13.3,61.2,0,40.89,0.7,-6.5,17.5,1.04,1.42
Ottawa,2015,27-Feb,58,-6.4,-15.1,58.7,0,40.89,2.2,-7.7,11.9,0.79,1.06
Ottawa,2015,28-Feb,59,-5.6,-8.7,82.8,0,40.89,-0.7,-5.6,5.6,0.61,0.79
Ottawa,2015,1-Mar,60,-0.4,-8.1,85.1,3.3,44.19,2.6,-3.5,13.2,0.86,0.93
Ottawa,2015,2-Mar,61,2,-10.6,76.4,0,44.19,3.3,-4.7,11,1.12,1.56
Ottawa,2015,3-Mar,62,9.3,-1.2,84,0,44.19,5,-0.9,5,1.2,1.71
Ottawa,2015,4-Mar,63,-1.1,-7.9,61.8,0.25,44.44,-0.4,-2.8,7,0.94,1.3
Ottawa,2015,5-Mar,64,0.6,-11.8,57.2,0,44.44,6.5,-5.7,18.8,1.36,1.78
Ottawa,2015,6-Mar,65,15.9,-5.7,56.1,0,44.44,11.7,-3.3,18.4,3.65,5.57
